Pokemon,No.,Caught?,Ruby,Sapphire,Leafgreen,Firered,Emerald,Colosseum,XD: Gale of Darkness
Quilava,156,FALSE,Trade from Emerald/Colosseum/XD,Trade from Emerald/Colosseum/XD,Trade from Emerald/Colosseum/XD,Trade from Emerald/Colosseum/XD,Evolve Cyndaquil,Snagged from Mystery Troop Rosso in Phenac City or Snagem Hideout,Evolve Cyndaquil
Typhlosion,157,FALSE,Trade from Emerald/Colosseum/XD,Trade from Emerald/Colosseum/XD,Trade from Emerald/Colosseum/XD,Trade from Emerald/Colosseum/XD,Evolve Quilava,Evolve Quilava,Evolve Quilava
Totodile,158,FALSE,Trade from Emerald/XD,Trade from Emerald/XD,Trade from Emerald/XD,Trade from Emerald/XD,Given by Professor Birch after completing Hoenn Dex,Trade from Emerald/XD,Prize for Defeating Mt. Battle
Croconaw,159,FALSE,Trade from Emerald/Colosseum/XD,Trade from Emerald/Colosseum/XD,Trade from Emerald/Colosseum/XD,Trade from Emerald/Colosseum/XD,Evolve Totodile,Snagged from Mystery Troop Bluno in Phenac City or Snagem Hideout,Evolve Totodile
Feraligatr,160,FALSE,Trade from Emerald/Colosseum/XD,Trade from Emerald/Colosseum/XD,Trade from Emerald/Colosseum/XD,Trade from Emerald/Colosseum/XD,Evolve Croconaw,Evolve Croconaw,Evolve Croconaw
Sentret,161,FALSE,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,"Canyon Entrance, Five Isle Meadow, Water Path","Canyon Entrance, Five Isle Meadow, Water Path",Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen
Furret,162,FALSE,Trade from FireRed/LeafGreen/Colosseum,Trade from FireRed/LeafGreen/Colosseum,Evolve Sentret,Evolve Sentret,Trade from FireRed/LeafGreen/Colosseum,Snagged from Rogue Cail in Pyrite Town,Trade from FireRed/LeafGreen/Colosseum
Hoothoot,163,FALSE,Trade from Emerald,Trade from Emerald,Trade from Emerald,Trade from Emerald,Safari Zone Extentions 1 & 2,Trade from Emerald,Trade from Emerald
Noctowl,164,FALSE,Trade from Emerald/Colosseum,Trade from Emerald/Colosseum,Trade from Emerald/Colosseum,Trade from Emerald/Colosseum,Evolve Hoothoot,Snagged from Rider Nover in Pyrite Town,Trade from Emerald/Colosseum
Ledyba,165,FALSE,Trade from Emerald/FireRed/LeafGreen/XD,Trade from Emerald/FireRed/LeafGreen/XD,Pattern Bush,Pattern Bush,Safari Zone Extention,Trade from Emerald/FireRed/LeafGreen/XD,Snagged from Casual Guy Cyle in Gateon Port
Ledian,166,FALSE,Trade from Emerald/FireRed/LeafGreen/Colosseum/XD,Trade from Emerald/FireRed/LeafGreen/Colosseum/XD,Evolve Ledyba,Evolve Ledyba,Evolve Ledyba,Snagged from Cipher Peon Kloak in The Under,Evolve Ledyba
Spinarak,167,FALSE,Trade from Emerald/FireRed/LeafGreen/XD,Trade from Emerald/FireRed/LeafGreen/XD,Pattern Bush,Pattern Bush,Safari Zone Extention,Trade from Emerald/FireRed/LeafGreen/XD,Snagged from Cipher Peon Nexir in Cipher Lab
Ariados,168,FALSE,Trade from Emerald/FireRed/LeafGreen/Colosseum/XD,Trade from Emerald/FireRed/LeafGreen/Colosseum/XD,Evolve Spinarak,Evolve Spinarak,Evolve Spinarak,Snagged from Cipher Peon Lesar in Cipher Lab,Evolve Spinarak
Crobat,169,FALSE,Evolve Golbat,Evolve Golbat,Evolve Golbat,Evolve Golbat,Evolve Golbat,Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen/XD,Evolve Golbat
Chinchou,170,FALSE,Underwater Routes 124 & 126,Underwater Routes 124 & 126,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,Underwater Routes 124 & 126,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald
Lanturn,171,FALSE,Evolve Chinchou,Evolve Chinchou,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,Evolve Chinchou,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald
Pichu,172,FALSE,Breed Pikachu/Raichu,Breed Pikachu/Raichu,Breed Pikachu/Raichu,Breed Pikachu/Raichu,Breed Pikachu/Raichu,Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen,Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen
Cleffa,173,FALSE,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Breed Clefairy/Clefable,Breed Clefairy/Clefable,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen
Igglybuff,174,FALSE,Breed Jigglypuff/Wigglytuff,Breed Jigglypuff/Wigglytuff,Breed Jigglypuff/Wigglytuff,Breed Jigglypuff/Wigglytuff,Breed Jigglypuff/Wigglytuff,Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen,Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen
Togepi,175,FALSE,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Egg Obtained on Water Path,Egg Obtained on Water Path,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Recieved from Hordel
Togetic,176,FALSE,Trade from FireRed/LeafGreen/Colosseum/XD,Trade from FireRed/LeafGreen/Colosseum/XD,Evolve Togepi,Evolve Togepi,Trade from FireRed/LeafGreen/Colosseum/XD,Snagged from Fake Hero Fein in Outskirt Stand,Evolve Togepi
Natu,177,FALSE,Safari Zone Entrance & Mach & Acro Bike Areas,Safari Zone Entrance & Mach & Acro Bike Areas,Ruin Valley,Ruin Valley,Safari Zone Entrance & Mach & Acro Bike Areas,Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen/XD,Snagged from Cipher Peon Eloin in Phenac Training School
Xatu,178,FALSE,Safari Zone Acro Bike Area,Safari Zone Acro Bike Area,Evolve Natu,Evolve Natu,Safari Zone Acro Bike Area,Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen/XD,Evolve Natu
Mareep,179,FALSE,Trade from Emerald/XD,Trade from Emerald/XD,Altering Cave,Altering Cave,Safari Zone Extention & Altering Cave,Trade from Emerald/XD,Snagged from Cipher Peon Yellosix in Cipher Lab
Flaaffy,180,FALSE,Trade from Emerald/Colosseum/XD,Trade from Emerald/Colosseum/XD,Trade from Emerald/Colosseum/XD,Trade from Emerald/Colosseum/XD,Evolve Mareep,Snagged from Street Performer Diogo in Pyrite Town,Evolve Mareep
Ampharos,181,FALSE,Trade from Emerald/Colosseum/XD,Trade from Emerald/Colosseum/XD,Trade from Emerald/Colosseum/XD,Trade from Emerald/Colosseum/XD,Evolve Flaaffy,Evolve Flaaffy,Evolve Flaaffy
Bellossom,182,FALSE,Evolve Gloom,Evolve Gloom,Trade from Ruby/Sapphire/Emerald/FireRed,Evolve Gloom,Evolve Gloom,Trade from Ruby/Sapphire/Emerald/FireRed,Trade from Ruby/Sapphire/Emerald/FireRed
Marill,183,FALSE,"Routes 102, 111, 114, 117, 120, Petalburg City (Surf) Routes 117, 120","Routes 102, 111, 114, 117, 120, Petalburg City (Surf) Routes 117, 120","Four Island, Icefall Cave Entrance, Ruin Valley (Surf) Ruin Valley",Trade from Ruby/Sapphire/Emerald/LeafGreen,"Routes 102, 111, 114, 117, 120, Petalburg City, Safari Zone Extention (Surf) Routes 117, 120",Trade from Ruby/Sapphire/Emerald/LeafGreen,Trade from Ruby/Sapphire/Emerald/LeafGreen
Azumarill,184,FALSE,Evolve Marill,Evolve Marill,Evolve Marill,Trade from Ruby/Sapphire/Emerald/LeafGreen,Evolve Marill,Trade from Ruby/Sapphire/Emerald/LeafGreen,Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen/Colosseum
Sudowoodo,185,FALSE,Trade from Emerald/Colosseum,Trade from Emerald/Colosseum,Trade from Emerald/Colosseum,Trade from Emerald/Colosseum,Battle Frontier (Use Wailmer Pail),Snagged from Cipher Admin Miror B. in Miror B.'s Hideout,Trade from Ruby/Sapphire/Emerald/LeafGreen
Politoed,186,FALSE,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Evolve Poliwhirl,Evolve Poliwhirl,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen
Hoppip,187,FALSE,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,"Five Island, Five Isle Meadow, Memorial Pillar, Resort Gorgeous, Water Labyrinth (Surf), Five Isle Meadow, Memorial Pillar","Five Island, Five Isle Meadow, Memorial Pillar, Resort Gorgeous, Water Labyrinth (Surf), Five Isle Meadow, Memorial Pillar",Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Oasis PokéSpot
Skiploom,188,FALSE,Trade from FireRed/LeafGreen/Colosseum/XD,Trade from FireRed/LeafGreen/Colosseum/XD,Evolve Hoppip,Evolve Hoppip,Trade from FireRed/LeafGreen/Colosseum/XD,Snagged from Rider Leba in Pyrite Town,Evolve Hoppip
Jumpluff,189,FALSE,Trade from FireRed/LeafGreen/Colosseum/XD,Trade from FireRed/LeafGreen/Colosseum/XD,Evolve Skiploom,Evolve Skiploom,Trade from FireRed/LeafGreen/Colosseum/XD,Evolve Skiploom,Evolve Skiploom
Aipom,190,FALSE,Trade from Emerald/Colosseum,Trade from Emerald/Colosseum,Altering Cave,Altering Cave,Safari Zone Extentions 1 & 2 & Altering Cave,Snagged from Cipher Peon Cole in Cipher Lab,Trade from FireRed/LeafGreen/Colosseum
Sunkern,191,FALSE,Trade from Emerald,Trade from Emerald,Trade from Emerald,Trade from Emerald,Safari Zone Extentions 1 & 2,Trade from Emerald,Trade from Emerald
Sunflora,192,FALSE,Trade from Emerald/Colosseum,Trade from Emerald/Colosseum,Trade from Emerald/Colosseum,Trade from Emerald/Colosseum,Evolve Sunkern,Snagged from Cipher Peon Baila in Realgam Tower's Dome,Trade from Emerald/Colosseum
Yanma,193,FALSE,Trade from FireRed/LeafGreen/Colosseum,Trade from FireRed/LeafGreen/Colosseum,Ruin Valley,Ruin Valley,Trade from FireRed/LeafGreen/Colosseum,Snagged from Cipher Peon Nore in Pyrite Hill,Trade from FireRed/LeafGreen/Colosseum
Wooper,194,FALSE,Trade from Emerald/FireRed/XD,Trade from Emerald/FireRed/XD,Trade from Emerald/FireRed/XD,"Four Island, Icefall Cave Entrance & Ruin Valley (Surf), Ruin Valley",Safari Zone Extention (Surf),Trade from Emerald/FireRed/XD,Oasis PokéSpot
Quagsire,195,FALSE,Trade from Emerald/FireRed/Colosseum/XD,Trade from Emerald/FireRed/Colosseum/XD,Trade from Emerald/FireRed/Colosseum/XD,Evolve Wooper,Safari Zone Extention (Surf),Snagged from Bandana Guy Divel in Pyrite Town,Evolve Wooper
Espeon,196,FALSE,Trade from Colosseum/XD,Trade from Colosseum/XD,Trade from Colosseum/XD,Trade from Colosseum/XD,Trade from Colosseum/XD,Starter Pokémon,Evolve Eevee
Umbreon,197,FALSE,Trade from Colosseum/XD,Trade from Colosseum/XD,Trade from Colosseum/XD,Trade from Colosseum/XD,Trade from Colosseum/XD,Starter Pokémon,Evolve Eevee
Murkrow,198,FALSE,Trade from FireRed/Colosseum,Trade from FireRed/Colosseum,Trade from FireRed/Colosseum,Lost Cave,Trade from FireRed/Colosseum,Snagged from Cipher Peon Lare in Cipher Lab,Trade from FireRed/Colosseum
Slowking,199,FALSE,Trade from LeafGreen,Trade from LeafGreen,Evolve Slowpoke,Trade from LeafGreen,Trade from LeafGreen,Trade from LeafGreen,Trade from LeafGreen
Misdreavus,200,FALSE,Trade from LeafGreen/Colosseum,Trade from LeafGreen/Colosseum,Lost Cave,Trade from LeafGreen/Colosseum,Trade from LeafGreen/Colosseum,Snagged from Rider Vant in Pyrite Town,Trade from LeafGreen/Colosseum
Unown,201,FALSE,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,"Dilford Chamber, Liptoo Chamber, Monean Chamber, Rixy Chamber, Scufib Chamber, Viapolis Chamber, Weepth Chamber","Dilford Chamber, Liptoo Chamber, Monean Chamber, Rixy Chamber, Scufib Chamber, Viapolis Chamber, Weepth Chamber",Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen
Wobbuffet,202,FALSE,Safari Zone Entrance & Left Areas,Safari Zone Entrance & Left Areas,"Cerulean Cave Floors 1, 2 & Basement 1, Ruin Valley","Cerulean Cave Floors 1, 2 & Basement 1, Ruin Valley",Safari Zone Entrance & Left Areas,Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen,Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen
Girafarig,203,FALSE,Safari Zone Entrance & Left Areas,Safari Zone Entrance & Left Areas,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,Safari Zone Entrance & Left Areas,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald
Pineco,204,FALSE,Trade from Emerald/XD,Trade from Emerald/XD,Altering Cave,Altering Cave,Safari Zone Extention & Altering Cave,Trade from Emerald/XD,Snagged from Cipher Peon Gonrag in Phenac Mayor's House
Forretress,205,FALSE,Trade from Emerald/Colosseum/XD,Trade from Emerald/Colosseum/XD,Trade from Emerald/Colosseum/XD,Trade from Emerald/Colosseum/XD,Evolve Pineco,Snagged from Cipher Peon Vana in Cipher Lab,Evolve Pineco
Dunsparce,206,FALSE,Trade from FireRed/LeafGreen/Colosseum,Trade from FireRed/LeafGreen/Colosseum,Three Isle Port,Three Isle Port,Trade from FireRed/LeafGreen/Colosseum,Snagged from Rider Sosh in Pyrite Cave,Trade from FireRed/LeafGreen/Colosseum
Gligar,207,FALSE,Trade from Emerald/Colosseum/XD,Trade from Emerald/Colosseum/XD,Trade from Emerald/Colosseum/XD,Trade from Emerald/Colosseum/XD,Safari Zone Extention,Snagged from Hunter Frena in The Under Subway,RockGround PokéSpot
Steelix,208,FALSE,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Evolve Onix,Evolve Onix,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen
Snubbull,209,FALSE,Trade from Emerald,Trade from Emerald,Trade from Emerald,Trade from Emerald,Safari Zone Extention,Trade from Emerald,Trade from Emerald
Granbull,210,FALSE,Trade from Emerald/Colosseum,Trade from Emerald/Colosseum,Trade from Emerald/Colosseum,Trade from Emerald/Colosseum,Evolve Snubbull,Snagged from Cipher Peon Tanie in Cipher Lab,Trade from Emerald/Colosseum
Qwilfish,211,FALSE,Trade from FireRed/Colosseum,Trade from FireRed/Colosseum,Trade from FireRed/Colosseum,"Five Isle Meadow, Green Path, Memorial Pillar, Outcast Island, Resort Gorgeous, Tanoby Ruins, Trainer Tower, Water Labyrinth, Water Path (Fish)",Trade from FireRed/Colosseum,Snagged from Hunter Doken in Pyrite Town,Trade from FireRed/Colosseum
Scizor,212,FALSE,Trade from FireRed/XD,Trade from FireRed/XD,Trade from FireRed/XD,Evolve Scyther,Trade from FireRed/XD,Trade from FireRed/XD,Evolve Scyther
Shuckle,213,FALSE,Trade from Emerald/Colosseum/XD,Trade from Emerald/Colosseum/XD,Altering Cave,Altering Cave,"Safari Zone Extention (Smash Rocks), Altering Cave",Snagged from Deep King Agnol in Deep Colosseum,Trade for Surskit with Duking in Pyrite Town
Heracross,214,FALSE,Safari Zone Acro Bike Area,Safari Zone Acro Bike Area,Pattern Bush,Pattern Bush,Safari Zone Acro Bike Area,Snagged from Cipher Peon Dioge in Realgam Tower's Dome,Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen/Colosseum
Sneasel,215,FALSE,Trade from LeafGreen/Colosseum,Trade from LeafGreen/Colosseum,Icefall Cave Floor 1 & Basement 1,Trade from LeafGreen/Colosseum,Trade from LeafGreen/Colosseum,Snagged from Rider Nelis in The Under Subway,Trade from LeafGreen/Colosseum
Teddiursa,216,FALSE,Trade from Emerald/XD,Trade from Emerald/XD,Altering Cave,Altering Cave,Safari Zone Extention & Altering Cave,Trade from Emerald/XD,Snagged from Spy Naps in Krane's Lab
Ursaring,217,FALSE,Trade from Emerald/Colosseum/XD,Trade from Emerald/Colosseum/XD,Trade from Emerald/Colosseum/XD,Trade from Emerald/Colosseum/XD,Evolve Teddiursa,Snagged from Sangem Grunt Agrev in Snagem Hideout,Evolve Teddiursa
Slugma,218,FALSE,Fiery Path,Fiery Path,"Mt. Ember Basement 3 (Rock Smash), Mt. Ember Basements 1, 2 & 3","Mt. Ember Basement 3 (Rock Smash), Mt. Ember Basements 1, 2 & 3","Route 113, Fiery Path",Snagged from Street Performer Lon in Pyrite Town,Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen/Colosseum
Magcargo,219,FALSE,Evolve Slugma,Evolve Slugma,Mt. Ember Basement 3 (Rock Smash),Mt. Ember Basement 3 (Rock Smash),Evolve Slugma,Evolve Slugma,Snagged from Cipher Peon Kolest in Citadark Isle
Swinub,220,FALSE,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Icefall Cave Floor 1 & Basement 1,Icefall Cave Floor 1 & Basement 1,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Snagged from Cipher Peon Greck in Phenac Stadium
Piloswine,221,FALSE,Trade from FireRed/LeafGreen/Colosseum/XD,Trade from FireRed/LeafGreen/Colosseum/XD,Evolve Swinub,Evolve Swinub,Trade from FireRed/LeafGreen/Colosseum/XD,Snagged from Bodybuilder Lonia in The Under Subway,Evolve Swinub
Corsola,222,FALSE,Route 128 & EverGrande City (Fish),Route 128 & EverGrande City (Fish),Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,Route 128 & EverGrande City (Fish),Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald
Remoraid,223,FALSE,Trade from Emerald/LeafGreen/Colosseum,Trade from Emerald/LeafGreen/Colosseum,"Five Isle Meadow, Green Path, Memorial Pillar, Outcast Island, Resort Gorgeous, Tanoby Ruins, Trainer Tower, Water Labyrinth, Water Path (Fish)",Trade from Emerald/LeafGreen/Colosseum,Safari Zone Extention (Fish),Snagged from Miror B. Peon Reath in Pyrite Hill,Trade from Emerald/LeafGreen/Colosseum
Octillery,224,FALSE,Trade from Emerald/LeafGreen/Colosseum,Trade from Emerald/LeafGreen/Colosseum,Evolve Remoraid,Trade from Emerald/LeafGreen/Colosseum,Safari Zone Extention (Fish),Evolve Remoraid,Trade from Emerald/LeafGreen/Colosseum
Delibird,225,FALSE,Trade from FireRed/Colosseum,Trade from FireRed/Colosseum,Trade from FireRed/Colosseum,Icefall Cave Floors 1 & Basement 1,Trade from FireRed/Colosseum,Snagged from Cipher Peon Arton in Realgam Tower's Dome,Trade from FireRed/Colosseum
Mantine,226,FALSE,Trade from LeafGreen/Colosseum,Trade from LeafGreen/Colosseum,Tanoby Ruins & Trainer Tower (Surf),Trade from LeafGreen/Colosseum,Trade from LeafGreen/Colosseum,Snag from Miror B. Peon Ferma in Pyrite Hill,Trade from LeafGreen/Colosseum
Skarmory,227,FALSE,Route 113,Route 113,Trade from Ruby/Sapphire/Emerald/FireRed/Colosseum,Seavault Canyon,Route 113,Snagged from Snagem Leader Gonzap in Realgam Tower,Trade from Ruby/Sapphire/Emerald/FireRed/Colosseum
Houndour,228,FALSE,Trade from Emerald/XD,Trade from Emerald/XD,Altering Cave,Altering Cave,Safari Zone Extention & Altering Cave,Trade from Emerald/XD,Snagged from Cipher Peon Resix in Cipher Lab
Houndoom,229,FALSE,Trade from Emerald/Colosseum/XD,Trade from Emerald/Colosseum/XD,Trade from Emerald/Colosseum/XD,Trade from Emerald/Colosseum/XD,Evolve Houndour,Snagged from Cipher Peon Nella in Realgam Tower Colosseum,Evolve Houndour
Kingdra,230,FALSE,Evolve Seadra,Evolve Seadra,Evolve Seadra,Evolve Seadra,Evolve Seadra,Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen,Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen
Phanpy,231,FALSE,Safari Zone Acro Bike Area,Safari Zone Acro Bike Area,"Canyon Entrance, Seavault Canyon","Canyon Entrance, Seavault Canyon",Safari Zone Acro Bike Area,Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen/XD,Oasis PokéSpot
Donphan,232,FALSE,Evolve Phanpy,Evolve Phanpy,Evolve Phanpy,Evolve Phanpy,Evolve Phanpy,Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen/XD,Evolve Phanpy
Porygon2,233,FALSE,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Evolve Porygon,Evolve Porygon,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen
Stantler,234,FALSE,Trade from Emerald/Colosseum,Trade from Emerald/Colosseum,Altering Cave,Altering Cave,"Safari Zone Extention, Altering Cave",Snagged from Chaser Liaks in The Under Subway,Trade from Emerald/Colosseum
Smeargle,235,FALSE,Trade from Emerald/Colosseum,Trade from Emerald/Colosseum,Altering Cave,Altering Cave,"Artisan's Cave Floors 1 & 2, Altering Cave",Snagged from Chaser Liaks in The Under Subway,Trade from Emerald/Colosseum
Tyrogue,236,FALSE,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Breed Hitmonchan/Hitmonlee/Hitmontop,Breed Hitmonchan/Hitmonlee/Hitmontop,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen
Hitmontop,237,FALSE,Trade from Colosseum,Trade from Colosseum,Trade from Colosseum,Trade from Colosseum,Trade from Colosseum,Snagged from Cipher Peon Skrub in Agate Bridge,Trade from Colosseum
Smoochum,238,FALSE,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Breed Jynx,Breed Jynx,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen
Elekid,239,FALSE,Trade from FireRed/XD,Trade from FireRed/XD,Trade from FireRed/XD,Breed Electabuzz,Trade from FireRed/XD,Trade from FireRed/XD,Trade with Hordel for Togepi
Magby,240,FALSE,Trade from LeafGreen,Trade from LeafGreen,Breed Magmar,Trade from LeafGreen,Trade from LeafGreen,Trade from LeafGreen,Trade from LeafGreen/
Miltank,241,FALSE,Trade from Emerald/Colosseum,Trade from Emerald/Colosseum,Trade from Emerald/Colosseum,Trade from Emerald/Colosseum,Safari Zone Extention,Snagged from Bodybuilder Jonas in Realgam Tower Colosseum,Trade from Emerald/Colosseum
Blissey,242,FALSE,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Evolve Chansey,Evolve Chansey,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Evolve Chansey
Raikou,243,FALSE,Trade from FireRed/LeafGreen/Colosseum,Trade from FireRed/LeafGreen/Colosseum,Wild in Kanto after Elite 4 when Starter chosen was Squirtle,Wild in Kanto after Elite 4 when Starter chosen was Squirtle,Trade from FireRed/LeafGreen/Colosseum,Snagged from Cipher Admin Ein in Cipher Lab,Trade from FireRed/LeafGreen/Colosseum
Entei,244,FALSE,Trade from FireRed/LeafGreen/Colosseum,Trade from FireRed/LeafGreen/Colosseum,Wild in Kanto after Elite 4 when Starter chosen was Bulbasaur,Wild in Kanto after Elite 4 when Starter chosen was Bulbasaur,Trade from FireRed/LeafGreen/Colosseum,Snagged from Cipher Admin Dakim in Mt. Battle,Trade from LeafGreen/Colosseum
Suicune,245,FALSE,Trade from FireRed/LeafGreen/Colosseum,Trade from FireRed/LeafGreen/Colosseum,Wild in Kanto after Elite 4 when Starter chosen was Charmander,Wild in Kanto after Elite 4 when Starter chosen was Charmander,Trade from FireRed/LeafGreen/Colosseum,Snagged from Cipher Admin Venus in The Under,Trade from LeafGreen/Colosseum
Larvitar,246,FALSE,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Seavault Canyon,Seavault Canyon,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen/XD,Trade for Wooper with Duking in Pyrite Town
Pupitar,247,FALSE,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Evolve Larvitar,Evolve Larvitar,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Evolve Larvitar
Tyranitar,248,FALSE,Trade from FireRed/LeafGreen/Colosseum/XD,Trade from FireRed/LeafGreen/Colosseum/XD,Evolve Pupitar,Evolve Pupitar,Trade from FireRed/LeafGreen/Colosseum/XD,Snagged from Cipher Head Evice in Realgam Tower Colosseum,Evolve Pupitar
Lugia,249,FALSE,Trade from Emerald/FireRed/LeafGreen/XD,Trade from Emerald/FireRed/LeafGreen/XD,Navel Rock,Navel Rock,Navel Rock,Trade from Emerald/FireRed/LeafGreen/XD,Snagged from Cipher Boss Greevil in Citadark Isle
Ho-oh,250,FALSE,Trade from Emerald/FireRed/LeafGreen/Colosseum,Trade from Emerald/FireRed/LeafGreen/Colosseum,Navel Rock,Navel Rock,Navel Rock,Complete Mt. Battle in Battle Mode after Purifying all 48 Pokémon,Trade from Emerald/FireRed/LeafGreen/Colosseum
Celebi,251,FALSE,Obtain from Nintendo Event,Obtain from Nintendo Event,Obtain from Nintendo Event,Obtain from Nintendo Event,Obtain from Nintendo Event,Trade from Games that have Received Celebi from Event,Trade from Games that have Received Celebi from Event
Treecko,252,FALSE,Starter Pokémon Obtained in Littleroot Town,Starter Pokémon Obtained in Littleroot Town,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,Starter Pokémon Obtained in Littleroot Town,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald
Grovyle,253,FALSE,Evolve Treecko,Evolve Treecko,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,Evolve Treecko,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald
Sceptile,254,FALSE,Evolve Grovyle,Evolve Grovyle,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,Evolve Grovyle,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald
Torchic,255,FALSE,Starter Pokémon Obtained in Littleroot Town,Starter Pokémon Obtained in Littleroot Town,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,Starter Pokémon Obtained in Littleroot Town,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald
Combusken,256,FALSE,Evolve Torchic,Evolve Torchic,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,Evolve Torchic,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald
Blaziken,257,FALSE,Evolve Combusken,Evolve Combusken,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,Evolve Combusken,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald
Mudkip,258,FALSE,Starter Pokémon Obtained in Littleroot Town,Starter Pokémon Obtained in Littleroot Town,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,Starter Pokémon Obtained in Littleroot Town,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald
Marshtomp,259,FALSE,Evolve Mudkip,Evolve Mudkip,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,Evolve Mudkip,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald
Swampert,260,FALSE,Evolve Marshtomp,Evolve Marshtomp,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald,Evolve Marshtomp,Trade from Ruby/Sapphire/Emerald,Trade from Ruby/Sapphire/Emerald
